UnitID,Institution Name,NCAA/NAIA conference number football (IC2012_RV),State abbreviation (HD2012),FIPS state code (HD2012),Sector of institution (HD2012),Percent of undergraduate students awarded Pell grants (SFA1213_RV),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  US total),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Alabama),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Alaska),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Arizona),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Arkansas),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  California),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Colorado),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Connecticut),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Delaware),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  District of Columbia),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Florida),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Georgia),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Hawaii),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Idaho),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Illinois),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Indiana),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Iowa),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Kansas),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Kentucky),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Louisiana),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Maine),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Maryland),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Massachusetts),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Michigan),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Minnesota),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Mississippi),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Missouri),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Montana),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Nebraska),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Nevada),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  New Hampshire),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  New Jersey),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  New Mexico),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  New York),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  North Carolina),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  North Dakota),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Ohio),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Oklahoma),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Oregon),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Pennsylvania),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Rhode Island),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  South Carolina),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  South Dakota),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Tennessee),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Texas),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Utah),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Vermont),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Virginia),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Washington),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  West Virginia),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Wisconsin),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  Wyoming),First-time degree/certificate-seeking undergraduate students (EF2012C_RV  State unknown),On campus  other expenses 2012-13 (IC2012_AY),Off campus (not with family)  other expenses 2012-13 (IC2012_AY),Off campus (with family)  other expenses 2012-13 (IC2012_AY),On campus  other expenses 2012-13 (IC2012_PY),Off campus (not with family)  other expenses 2012-13 (IC2012_PY),Off campus (with family)  other expenses 2012-13 (IC2012_PY),Grand total (EF2012B_RV  Undergraduate  Age 25 and over total),
213613,Lock Haven University,158,PA,42,1,39,1154,,,,,,,,3,,,2,,,,1,,,,,1,7,,,,,,,,,,46,,14,1,,,,,1074,,,,,,,1,3,,1,,,,2976,3716,2484,,,,393,
159391,Louisiana State University and Agricultural & Mechanical College,130,LA,22,1,20,5657,32,1,5,8,37,14,5,2,,81,96,,1,27,1,,5,9,4501,,13,7,8,3,40,22,2,2,4,1,21,2,11,17,,7,5,5,16,3,2,,31,550,,1,42,,2,6,,9,3000,3568,3568,,,,1452,
159647,Louisiana Tech University,137,LA,22,1,22,1275,1,,,33,5,1,,,,8,1,,,4,2,,1,,1090,,1,,,,12,3,,,,,3,,1,2,1,,,,2,,3,,2,94,,,3,1,,1,,,3429,3744,3699,,,,1578,
198899,Mars Hill University,160,NC,37,2,76,435,2,,1,,3,1,1,1,,19,33,,,1,1,,,,,,3,1,,,1,1,,,,1,3,,1,287,,2,1,,5,,35,,12,5,,,13,,1,,,,1900,,1600,,,,,
237525,Marshall University,111,WV,54,1,44,1898,1,,,,7,1,3,1,5,15,7,2,,1,2,,,31,,,31,2,4,2,,1,,,,2,10,,9,11,,221,,1,22,,5,,4,4,,,42,,1449,2,,,2264,3142,6092,,,,1875,
147013,McKendree University,145,IL,17,2,38,283,,1,,,2,1,,,,3,2,,,235,5,,,,,,3,,1,,,23,,1,,,,,,,,,2,,1,,,,1,,,,,,1,1,,,2550,3250,3200,,,,881,
213987,Mercyhurst University,158,PA,42,2,32,638,1,,,,5,1,10,,1,8,1,1,,10,2,,1,,,1,14,8,5,,,2,,,1,3,9,,151,3,,101,,1,286,,,,1,1,,2,5,,2,1,,,1750,,1750,,,,,
204024,Miami University-Oxford,119,OH,39,1,16,3608,,,6,2,42,28,63,2,6,16,22,,,402,103,2,7,45,1,1,36,38,98,45,3,30,,3,1,4,55,,59,13,3,2270,2,1,89,,5,,25,10,2,5,33,1,2,20,2,5,5230,5230,7650,,,,333,
171100,Michigan State University,107,MI,26,1,24,7069,2,,6,1,56,12,18,2,5,34,12,2,1,303,26,5,3,3,,2,21,19,6135,18,2,8,,3,3,4,54,1,50,9,,82,,4,30,2,4,,8,50,1,3,23,7,2,22,8,3,1854,1854,1854,,,,1451,
171128,Michigan Technological University,144,MI,26,1,27,1127,,3,,,2,3,,,,3,1,1,,50,6,,,,,1,1,2,832,63,,2,,,,1,1,1,1,2,,3,,,3,,,,,3,,1,1,4,,134,2,,2260,2260,2260,,,,,
220978,Middle Tennessee State University,134,TN,47,1,45,3091,3,,,8,9,,2,,,5,39,,,5,2,3,,19,2,2,5,,2,1,3,1,,1,,1,2,,4,4,,5,3,,2,,3,,2929,7,,,16,1,,1,1,,3057,3057,2924,,,,5386,
226833,Midwestern State University,147,TX,48,1,37,623,1,,,1,,4,,,,2,1,,,1,,1,1,,,,,,,,,,,2,1,1,,,1,,,,9,,1,,,,,587,,,,,,1,,8,1598,1598,919,,,,,
101675,Miles College,161,AL,1,2,82,442,219,,,,23,,,,,19,67,,,37,,,,,10,,2,,11,,9,,,,,,1,,,,,,,,,,3,,32,2,,,,2,,,,5,2768,2928,2928,,,,,
214041,Millersville University of Pennsylvania,158,PA,42,1,31,1313,,,,,1,,,5,2,,,,,,,,,,,,21,,,,,,,,,1,30,,4,,,,,,1244,,,,,1,,,4,,,,,,1808,1808,1350,,,,774,
174358,Minnesota State University Moorhead,155,MN,27,1,33,1090,,2,,,4,1,,,,,,,,7,,3,,,,,,1,,736,,1,3,3,,,,,,2,227,,,1,1,,,48,,3,1,,1,,,44,,1,2596,2596,2596,,,,,
173920,Minnesota State University-Mankato,155,MN,27,1,29,2299,,1,,1,2,2,,,1,1,,,,23,1,38,1,1,,,1,1,1,1946,,3,,6,,1,,,2,2,12,2,1,2,,,,78,,5,,1,1,1,,160,1,,2052,2698,2698,,,,,
200253,Minot State University,155,ND,38,1,23,361,,,5,,10,1,,1,,15,,,,3,2,,2,,1,,1,1,1,9,,,14,1,2,,,1,2,1,275,1,,1,1,,,1,,2,2,,1,3,,1,,,3400,3400,2210,,,,866,
176053,Mississippi College,204,MS,28,2,36,469,37,1,,4,3,,,,,15,5,1,,3,,1,,,49,,,1,1,,288,1,,,,1,,,,1,,1,,,3,,,,21,28,,,3,,,1,,,3543,5110,3452,,,,615,
176080,Mississippi State University,130,MS,28,1,34,2864,239,,2,16,5,2,2,4,,28,133,1,1,15,4,1,,6,49,,9,2,3,4,1875,14,1,1,3,,9,,8,9,,6,2,,2,2,11,,300,61,1,,22,7,2,2,,,4952,4952,4952,,,,1974,
178341,Missouri Southern State University,148,MO,29,1,61,787,1,,,15,1,,,,,3,,,,10,,2,36,,9,,,1,1,1,,681,,,,,,,,,,1,20,,,,,,,4,,,,,,1,,,3148,5226,5225,,,,1781,
178411,Missouri University of Science and Technology,145,MO,29,1,26,1116,,1,3,5,2,3,,,,4,1,1,,108,5,4,33,3,,,2,2,7,7,,862,,9,,,1,,4,1,1,1,6,,1,,,1,1,28,,,1,1,,6,1,,3056,,,,,,412,
178387,Missouri Western State University,148,MO,29,1,43,1053,,,,1,,,,,,,,,,6,,7,27,1,,,,,1,2,,990,,12,,,1,,,,,1,2,,,,,1,,1,,,,,,,,,2600,2600,2600,,,,1497,
140553,Morehouse College,161,GA,13,2,50,545,10,,1,1,44,1,4,2,11,16,164,,,26,6,,2,,12,1,51,3,15,1,6,5,,2,,,11,,30,20,,14,,3,8,,9,,11,24,,,13,7,1,10,,,6035,,,,,,113,
187897,New Mexico Highlands University,159,NM,35,1,57,422,,,13,,93,10,1,,,6,,,1,1,9,,1,1,,,,,1,2,1,,1,,2,,,245,1,,,1,,1,,,,1,,12,2,,1,11,,,2,2,4584,4712,3892,,,,874,
218414,Newberry College,160,SC,45,2,47,212,3,,,,1,,1,,,8,13,,,2,,,,1,1,,1,,,,,,,,,,,,1,9,,2,,,1,,164,,,3,,,1,,,,,,4000,4000,4000,,,,78,
218441,North Greenville University,141,SC,45,2,38,517,1,,,,1,,,1,,5,32,,,2,1,,,3,2,,1,,,,1,,,,,,,,1,52,,3,1,,6,,390,,3,1,,1,5,,4,,,,4900,4900,4900,,,,87,
207263,Northeastern State University,148,OK,40,1,49,894,,,,20,1,3,,,,,,,,,,,1,,,,,,,,,3,,,2,,,,,4,,,827,,,,,,,32,,,,,1,,,,1580,4058,3898,,,,2925,
147703,Northern Illinois University,119,IL,17,1,43,2647,1,,,,4,,1,,,7,2,,,2520,12,7,2,,1,,,,7,9,,4,,2,,,2,,,1,1,2,1,,,,3,,,5,,,,,,51,,2,2498,2498,2498,,,,2577,
171456,Northern Michigan University,144,MI,26,1,38,1631,,4,3,,7,,1,,,10,2,,,166,8,2,,,,,2,,1224,42,,4,1,1,1,,3,,4,2,,4,,,2,,,2,,3,,1,2,,,118,1,11,1559,1559,1559,,,,1515,
219259,Northern State University,155,SD,46,1,23,398,,3,6,,8,3,,,,2,,,1,3,,3,,,,,,,,42,,,2,5,,,2,,,,26,,,,,,,279,,,,,,4,,5,4,,3600,3600,3600,,,,,
178624,Northwest Missouri State University,148,MO,29,1,36,1325,,,,,3,2,,,,1,,,,13,,146,49,1,,,,,,2,,926,,170,1,,,,1,,,1,1,,,,,3,,2,,,,,,2,,1,2500,2500,2500,,,,294,
207306,Northwestern Oklahoma State University,367,OK,40,1,42,392,,,2,,8,4,,,,19,,1,,1,,1,30,,,,,,1,,,2,,,2,,,1,1,,1,,283,1,,,1,,,30,,,,1,,2,,,3600,2500,2000,,,,401,
147767,Northwestern University,107,IL,17,2,14,1888,6,3,13,3,182,22,58,1,4,43,33,3,2,514,35,23,14,9,,4,48,53,43,31,1,25,2,5,3,4,75,,205,20,,92,3,12,54,7,3,2,19,65,,3,28,47,2,49,,15,1890,1890,2874,,,,654,
171492,Northwood University,144,MI,26,2,34,308,,,,,,,,,,9,,,,2,2,1,,,,,,1,274,,,,,,,,2,,2,,,12,,,,,,,,1,,,,,,2,,,2422,3238,3238,,,,,
204468,Notre Dame College,144,OH,39,2,35,373,,,,,9,,,,,8,2,2,,1,4,,,2,,,2,,19,,,,,,,,1,,3,,,304,,,10,,,,,4,1,,1,,,,,,1410,1410,1410,,,,,
204617,Ohio Dominican University,144,OH,39,2,35,264,,,,,,,,,,1,3,,,,2,,,,,,,,5,,,,,,,,,,1,,,251,1,,,,,,,,,,,,,,,,2072,3972,3972,,,,,
204796,Ohio State University-Main Campus,107,OH,39,1,22,6626,2,,6,4,88,13,25,3,2,26,22,2,,192,42,6,7,13,1,4,62,36,71,16,1,14,,2,5,7,68,4,129,16,,5428,1,3,123,5,7,1,19,54,2,2,56,7,13,15,,1,2452,2452,4432,,,,3542,
204857,Ohio University-Main Campus,119,OH,39,1,23,3739,,1,1,,11,3,9,4,3,8,7,,,30,13,,2,11,,2,27,9,13,4,1,3,1,2,2,2,16,1,30,7,,3278,,1,178,,2,,,5,,1,36,,13,2,,,2770,2770,5954,,,,5988,
207403,Oklahoma Baptist University,-2,OK,40,2,33,486,,1,,5,1,10,,,,1,,,1,1,1,,12,,,,,,,,,8,,1,2,1,,3,,,,,345,,1,,,,1,91,,,,,,,,,3804,3544,3544,,,,,
207388,Oklahoma State University-Main Campus,108,OK,40,1,29,4108,2,2,11,60,53,33,4,1,,11,9,2,,27,13,3,92,3,5,,4,3,6,,2,48,1,9,5,3,8,15,5,1,,11,2575,4,2,,1,2,3,1050,2,2,6,2,,5,2,,4730,4730,4730,,,,2633,
232982,Old Dominion University,110,VA,51,1,34,2672,,,1,,9,2,7,8,12,5,12,1,,2,,,,,,1,60,4,1,,1,,1,1,,,36,,15,11,,2,1,,23,1,3,,1,5,,,2366,3,1,2,,74,2875,2875,2875,,,,5322,
209542,Oregon State University,127,OR,41,1,33,3408,1,12,19,1,329,22,1,,,3,5,67,26,1,1,1,1,1,2,,1,2,2,5,1,,6,3,20,2,3,1,4,2,1,3,1,2593,4,3,,,1,14,4,,6,221,1,3,2,6,2616,2616,2616,,,,4009,
107512,Ouachita Baptist University,367,AR,5,2,27,351,1,,1,228,2,1,,,,,1,,1,,,,4,1,10,,,,,,1,3,,,,,,1,,,,,7,,,,,,8,81,,,,,,,,,2500,3000,2800,,,,,
194310,Pace University,153,NY,36,2,36,1745,3,,3,,67,8,93,7,2,43,9,3,1,14,2,,2,1,2,5,29,74,5,2,3,3,,,1,8,238,1,977,9,,12,1,1,59,10,2,,2,18,,10,8,4,1,1,1,,2104,3104,3354,,,,,
155681,Pittsburg State University,148,KS,20,1,40,1083,,,1,29,4,,,,,,,,,4,,2,737,,,,,,1,1,,243,,3,1,,1,,,,,1,50,,,,,,,2,,,,,,,1,2,3393,3857,3857,,,,1004,
130183,Post University,-2,CT,9,3,43,1221,20,3,4,54,48,8,309,3,1,56,82,2,3,13,16,2,5,21,15,,17,14,28,8,58,16,2,4,8,4,30,1,63,39,,41,3,8,29,3,16,1,29,60,9,1,24,14,2,17,,7,4250,4250,4250,,,,,
243780,Purdue University-Main Campus,107,IN,18,1,21,5479,5,2,16,4,175,28,21,2,1,48,21,7,6,636,3572,11,6,31,1,3,24,42,71,33,1,41,4,5,4,5,74,2,46,21,,127,3,5,60,5,7,1,14,81,3,2,33,14,7,46,,102,1820,1820,3040,,,,1888,
148131,Quincy University,145,IL,17,2,43,259,,,,,2,2,,,,3,1,,1,194,3,1,,,,,,,1,1,,45,,,1,,1,,,,,1,,,,,,,,,,,,,,2,,,2150,3150,3150,,,,173,
227757,Rice University,111,TX,48,2,17,836,7,,8,3,82,13,10,2,,24,18,1,1,24,1,1,2,4,12,,14,15,6,4,4,17,,1,2,2,12,8,32,12,,10,8,9,8,,3,3,9,403,,,14,10,1,8,,8,1550,1550,1550,,,,25,
186380,Rutgers University-New Brunswick,104,NJ,34,1,31,5848,2,,2,,31,5,25,4,2,20,10,,,7,2,,,2,1,2,36,30,5,3,1,2,,,2,4,5356,,140,6,,5,,,86,1,4,,1,9,,,21,6,,3,,12,2763,1972,1977,,,,1997,
172051,Saginaw Valley State University,144,MI,26,1,41,1609,,,,,,,,,,,,1,,1,1,,,,,,1,,1600,,,,,,,1,,,,,,3,,,,,,,,1,,,,,,,,,1074,3113,3113,,,,,
183239,Saint Anselm College,153,NH,33,2,17,524,,2,,,6,,36,1,,2,,,,2,,,,,,39,7,267,,2,,,,,1,109,2,,12,2,,1,,,2,21,,,,1,,7,1,,,,,1,1500,2000,2000,,,,23,
199582,Saint Augustine's University,140,NC,37,2,75,406,,1,,,1,,6,6,14,3,8,2,,4,1,,,1,,,35,2,,,,1,,,,,14,,7,230,,2,,,8,,11,,2,,,,47,,,,,,5060,7780,5125,,,,,
122409,San Diego State University,203,CA,6,1,40,4015,,3,30,,3637,27,10,,,9,5,23,1,15,2,,1,,1,2,11,18,2,9,,5,1,2,21,2,21,6,15,,,6,,12,12,1,,,4,22,8,2,3,60,1,4,1,,4169,4678,4421,,,,4402,
122755,San Jose State University,137,CA,6,1,40,3323,,,4,,3293,1,2,,,1,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,4,1,,,,,6,1,,1,4,1,1,,,4475,4499,4771,,,,5249,
140960,Savannah State University,121,GA,13,1,74,1050,5,1,,,4,,1,,2,18,973,1,,1,1,,1,1,,,5,1,4,1,,1,,,,,2,,1,3,,2,,,1,,7,,2,4,,,5,2,,,,,2050,2250,2250,,,,517,
215947,Seton Hill University,163,PA,42,2,32,332,,,,,1,,1,,,1,1,,,1,,,,,,1,18,,1,1,,,,,,1,4,,6,,,13,,,268,,,,1,3,,,2,2,6,,,,2500,3000,2300,,,,332,
199643,Shaw University,140,NC,37,2,79,505,1,,1,,11,,6,4,19,8,19,,,1,2,,,,,,24,,1,,,,,,,,10,,4,313,,2,,1,6,,13,,1,2,,,56,,,,,,3440,4390,4390,,,,,
237792,Shepherd University,163,WV,54,1,33,754,,,,,,,,9,9,,,1,,,,,,,,,168,,,,,,,,,,2,,1,2,,,,,15,,,,,1,1,,77,,468,,,,2775,3250,3250,,,,997,
216010,Shippensburg University of Pennsylvania,193,PA,42,1,30,1484,,1,,,,,,3,3,,,,,,,,,,,,64,,1,,,,,,,,15,,1,,,1,,,1391,,,,,,,,4,,,,,,3163,3163,2752,,,,398,
140988,Shorter University,146,GA,13,2,47,270,30,,,,,,,,,9,220,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,1,,,1,,5,1,,,,,,,,,2870,6830,3780,,,,,
216038,Slippery Rock University of Pennsylvania,158,PA,42,1,32,1535,,,1,,1,,2,,,2,,,,2,2,,,,,1,28,1,1,,,,,,,1,12,,25,,,119,,,1316,2,,,,,,2,10,,6,,,1,2018,3618,4188,,,,649,
219347,South Dakota School of Mines and Technology,141,SD,46,1,25,451,,,5,,15,22,,,,1,1,,2,4,1,5,1,,,1,1,,1,58,,1,6,30,2,,1,1,3,,14,2,,7,4,,,211,,11,1,,1,5,,10,22,1,4000,4300,4300,,,,349,
207847,Southeastern Oklahoma State University,367,OK,40,1,48,569,,,,1,2,3,,,,1,,,,,,,,,3,,1,,1,,,,,1,1,,,,,,,1,414,1,,,1,,,137,,,,,,1,,,2945,3840,4826,,,,1223,
107983,Southern Arkansas University Main Campus,367,AR,5,1,52,583,1,,,431,2,,,,,1,2,,,1,2,,,,34,,,,,,1,2,,,1,,,,1,,,,2,,,,,,5,97,,,,,,,,,4332,5756,4908,,,,528,
130493,Southern Connecticut State University,153,CT,9,1,35,1380,,,1,,2,3,1277,1,1,4,1,,,,,,,,,1,,9,,,,,,,,5,10,,49,,1,,,,5,,1,,,,,2,2,,,,,5,1565,3130,1400,,,,,
228246,Southern Methodist University,111,TX,48,2,17,1361,11,3,20,12,257,26,25,,3,60,30,4,,29,3,1,11,4,15,,8,12,5,8,6,34,,2,5,1,10,3,23,10,,18,22,7,13,1,5,,31,588,2,3,10,7,,6,1,6,2600,2600,2600,,,,248,
206862,Southern Nazarene University,367,OK,40,2,54,267,,1,,8,4,6,,,,3,,,1,1,3,1,17,,3,,,,,,,2,,,,,1,2,,,,3,156,,,,,,1,51,,,1,2,,,,,2000,2000,2000,,,,,
179326,Southwest Baptist University,148,MO,29,2,43,555,,,1,15,4,6,,1,,1,,1,1,22,1,4,22,,,,1,,,4,,416,,2,4,,,,3,1,1,1,3,,2,,,1,1,35,,,,,,1,,,2000,2000,2000,,,,,
175078,Southwest Minnesota State University,155,MN,27,1,16,483,,2,1,,8,3,,,,1,,1,,4,1,22,,,,,,,,385,,,,1,,,,,1,,,1,,,,,,39,,3,,,,,,10,,,2938,2938,2938,,,,,
207865,Southwestern Oklahoma State University,367,OK,40,1,39,936,,,,1,7,1,,,,2,1,,,,1,,9,,,,2,,,,,,,2,,1,,,2,,,,843,1,,,,1,,60,,,1,1,,,,,5958,5958,5094,,,,846,
243744,Stanford University,127,CA,6,2,16,1586,2,5,25,1,673,36,20,1,5,39,23,16,5,51,4,2,3,6,1,3,25,36,20,26,2,16,5,5,19,2,37,12,72,16,1,23,9,42,21,,5,2,9,114,8,3,39,78,1,15,2,,2400,,,,,,,
167996,Stonehill College,153,MA,25,2,14,809,2,,,,7,2,95,1,,4,1,,,3,1,,,,,51,,432,1,1,,,,,1,51,23,1,70,,,4,,,4,32,,,,,,18,3,,,,,1,1572,1310,3790,,,,,
216339,Temple University,104,PA,42,1,34,4059,,1,1,1,17,2,44,17,13,7,2,,,5,2,1,,2,,3,86,43,6,1,,1,,1,1,9,339,,120,8,,7,1,2,3266,3,2,1,1,5,,2,26,2,3,4,1,,4237,5787,2065,,,,3491,
228723,Texas A & M University-College Station,130,TX,48,1,22,8089,,4,6,5,36,19,5,,1,11,12,,3,11,4,2,4,1,17,2,6,5,7,5,2,7,,4,3,3,9,8,7,3,2,6,10,2,9,,2,2,12,7812,,,5,10,,4,1,,2734,2734,2734,,,,1042,
224554,Texas A & M University-Commerce,147,TX,48,1,49,795,,,,,3,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,787,,,,1,,,,1,3480,,,,,,2612,
228705,Texas A & M University-Kingsville,147,TX,48,1,54,1278,,,,,3,,,,,2,,,,1,,,,,,,,,,,,1,,,,,,,3,,,1,1,,,,,,,1265,,,1,,,,,,4699,5171,4467,,,,3080,
228875,Texas Christian University,108,TX,48,2,14,1798,9,,25,22,237,48,10,2,,25,25,6,7,84,11,9,33,4,32,,6,10,10,20,6,50,,19,9,3,4,4,6,13,1,2,35,21,5,1,2,1,26,900,2,,10,20,,11,1,11,1920,1920,2600,,,,461,
228459,Texas State University,137,TX,48,1,35,4421,4,,,3,10,4,,,,1,2,2,,6,1,1,1,,3,,1,1,1,,1,1,,,,1,1,,2,2,1,3,1,,1,,,,1,4358,,,5,1,,1,,,3750,3530,3210,,,,4799,
229115,Texas Tech University,108,TX,48,1,29,4499,1,3,8,6,27,19,,1,1,7,9,2,,12,2,,3,,3,,3,2,2,3,2,4,,3,3,1,3,95,7,2,,4,11,1,3,,,,2,4217,1,1,10,3,,3,1,8,4420,3545,3545,,,,2882,
100751,The University of Alabama,130,AL,1,1,21,6172,2846,1,22,13,150,48,50,10,3,360,541,1,3,159,49,9,13,61,69,,86,45,55,7,60,55,,2,2,17,87,2,62,128,2,94,10,4,110,11,66,,302,371,2,1,147,10,6,12,,8,3967,3967,3967,,,,2323,
202763,The University of Findlay,144,OH,39,2,20,575,,,1,,3,1,3,,,4,,,,8,21,,,2,,2,4,3,31,2,,,1,,1,3,1,,10,2,,446,,1,22,,,,,1,,,,,1,1,,,1075,1090,1025,,,,320,
221759,The University of Tennessee-Knoxville,130,TN,47,1,30,4182,5,,2,3,17,5,7,,,23,66,2,,21,7,,1,9,4,,25,4,10,3,1,,,1,2,,9,1,8,34,,27,,2,12,1,11,,3780,14,1,2,52,1,3,5,,1,5410,6902,7468,,,,1865,
228769,The University of Texas at Arlington,-2,TX,48,1,40,2435,,,1,,6,2,,,,1,,,,1,,1,,,1,,,,2,,,1,,2,2,,,,,,,,3,,1,,,,,2385,,,1,2,,1,,22,4238,4238,4238,,,,,
228778,The University of Texas at Austin,108,TX,48,1,27,7784,6,1,6,4,106,18,11,1,1,23,24,2,2,58,3,2,4,1,20,1,13,15,10,3,1,11,,3,2,2,38,14,39,6,,8,7,11,7,1,2,1,19,7206,3,1,21,9,,7,,30,3752,3752,3752,,,,2139,
228796,The University of Texas at El Paso,111,TX,48,1,58,2858,,1,2,,9,2,,,,5,1,,,1,,1,4,,,,1,,2,3,1,,,2,,1,1,15,1,2,,,,1,,,,,1,2798,1,,1,1,,,,,3822,3822,3822,,,,5235,
229027,The University of Texas at San Antonio,137,TX,48,1,44,4407,2,,3,1,20,10,2,,1,10,4,3,1,4,,,1,1,2,1,7,2,1,1,2,2,1,1,2,,3,1,2,4,1,4,3,8,3,,,,3,4273,,,9,3,,4,1,,2470,4560,3420,,,,5024,
229018,The University of Texas Permian Basin,-2,TX,48,1,21,366,,,2,,1,3,,,,,1,,,,,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,351,1,,,,,,,,2606,3563,3421,,,,905,
233897,The University of Virginia's College at Wise,318,VA,51,1,38,364,,,,,,,,1,,1,1,,,,,,,4,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,353,,,,,1,1346,1392,1346,,,,908,
138354,The University of West Florida,-2,FL,12,1,41,1795,41,1,,,1,3,2,,1,1638,6,,,6,2,1,,2,2,,5,4,2,2,2,1,,,,2,3,1,3,2,,2,1,,7,,1,1,2,6,,,6,3,,2,,31,3600,4300,4000,,,,2992,
206048,Tiffin University,144,OH,39,2,62,1297,48,2,9,41,17,2,4,1,1,28,98,2,2,22,32,,5,13,16,5,15,7,62,3,114,9,,1,,,11,3,26,50,,503,1,4,22,1,12,,10,54,2,,15,10,2,11,1,,4179,,,,,,,
102368,Troy University,134,AL,1,1,48,2058,1510,,2,2,4,2,,,,147,300,1,,4,1,,1,3,3,1,2,1,4,2,10,1,,,1,,1,,1,7,,3,1,1,1,,4,,6,14,,,9,3,1,,,4,3501,5477,5477,,,,10259,
178615,Truman State University,148,MO,29,1,19,1215,,,,4,,1,,,,1,,,,120,2,44,18,2,,,,,2,3,,977,,14,,,,2,,,,,1,,,,,1,1,11,1,1,,,,7,1,1,4000,4000,4000,,,,89,
160755,Tulane University of Louisiana,111,LA,22,2,16,1610,19,,8,4,175,30,56,2,10,59,45,,3,118,7,3,8,3,207,6,69,92,5,7,7,33,1,3,4,10,113,8,195,14,,30,1,12,54,8,5,,33,78,2,4,30,15,1,9,2,2,1020,1020,1020,,,,1364,
221953,Tusculum University,160,TN,47,2,59,322,4,,,,2,1,1,1,,14,55,,,,2,,,5,,,2,,,1,,,,,1,,6,,,10,,4,,,,,7,,197,1,,2,6,,,,,,3476,3476,3476,,,,,
102377,Tuskegee University,161,AL,1,2,65,646,235,3,1,4,50,3,1,1,2,19,142,2,,16,8,,,1,12,,13,2,17,3,10,15,,1,5,,2,,4,5,,12,,,6,1,11,,7,16,,,9,2,,5,,,4118,,,,,,,
128328,United States Air Force Academy,203,CO,8,1,,952,15,3,27,8,116,84,7,2,1,46,47,8,5,32,18,8,14,12,8,4,19,13,20,21,8,14,7,10,8,3,14,10,30,20,7,31,18,9,23,4,9,2,14,84,12,2,26,25,5,15,4,,0,,,,,,21,
196088,University at Buffalo,119,NY,36,1,28,3143,,,1,,15,2,4,1,,4,3,,1,3,2,,1,1,,1,3,3,6,,,,,,,3,41,,2995,2,,13,,2,18,,,,,2,,1,3,3,,1,,8,1994,3177,3177,,,,1623,
