college,college_scorecard,opeid,conference,division
South Dakota School of Mines & Technology,South Dakota School of Mines and Technology,347000,Rocky Mountain Athletic Conference,NCAA D2
South Dakota State University,South Dakota State University,347100,Missouri Valley Conference,NCAA FCS
Southeast Missouri State University,Southeast Missouri State University,250100,Ohio Valley Conference,NCAA FCS
Southeastern Louisiana University,Southeastern Louisiana University,202400,Southland Conference,NCAA FCS
Southeastern Oklahoma State University,Southeastern Oklahoma State University,317900,Great American Conference,NCAA D2
Southeastern University,Southeastern University,152100,Sun Conference,NAIA
Southern Connecticut State University,Southern Connecticut State University,140600,Northeast-10 Conference,NCAA D2
Southern Illinois University Carbondale,Southern Illinois University-Carbondale,175800,Missouri Valley Conference,NCAA FCS
Southern Methodist University - SMU,Southern Methodist University,361300,American Athletic Conference,NCAA FBS
Southern Nazarene University,Southern Nazarene University,314900,Great American Conference,NCAA D2
Southern Oregon University,Southern Oregon University,321900,Cascade Collegiate Conference,NAIA
Southern University & A&M College,Southern University and A & M College,202500,Southwestern Athletic Conference,NCAA FCS
Southern Utah University,Southern Utah University,367800,Big Sky Conference,NCAA FCS
Southern Virginia University,Southern Virginia University,373800,Capital Athletic Conference,NCAA D3
Southwest Baptist University,Southwest Baptist University,250200,Great Lakes Valley Conference,NCAA D2
Southwest Minnesota State University,Southwest Minnesota State University,237500,Northern Sun Intercollegiate Conference,NCAA D2
Southwest Mississippi Community College,Southwest Mississippi Community College,243600,"MACCC, Region XXII",JC
Southwestern Assemblies of God University,Southwestern Assemblies of God University,361600,Central States Football League,NAIA
Southwestern College - Kansas,Southwestern College,194000,Kansas Collegiate Athletic Conference,NAIA
Southwestern Oklahoma State University,Southwestern Oklahoma State University,318100,Great American Conference,NCAA D2
Southwestern University,Southwestern University,362000,Southern Collegiate Athletic Conference,NCAA D3
Springfield College,Springfield College,221100,New England Women's & Men's Athletic Conference,NCAA D3
St. Ambrose University,Saint Ambrose University,188900,Mid-States Football Association,NAIA
St. Andrews University,St. Andrews University,154001,AAC,NAIA
St. John Fisher College,Saint John Fisher College,282100,Empire 8 Athletic Conference,NCAA D3
St. Lawrence University,St Lawrence University,282900,Liberty League,NCAA D3
St. Norbert College,Saint Norbert College,389200,Midwest Conference,NCAA D3
St. Olaf College,St Olaf College,238200,Minnesota Intercollegiate Athletic Conference,NCAA D3
St. Thomas University - Florida,St. Thomas University,146800,Sun Conference,NAIA
Stanford University,Stanford University,130500,Pacific-12 Conference,NCAA FBS
Stephen F Austin State University,Stephen F Austin State University,362400,Southland Conference,NCAA FCS
Sterling College - Kansas,Sterling College,194500,Kansas Collegiate Athletic Conference,NAIA
Stetson University,Stetson University,153100,Pioneer Football League,NCAA FCS
Stevenson University,Stevenson University,210700,Middle Atlantic Conferences,NCAA D3
Stonehill College,Stonehill College,221700,Northeast-10 Conference,NCAA D2
Sul Ross State University,Sul Ross State University,362500,American Southwest Conference,NCAA D3
SUNY Buffalo State College,SUNY Buffalo State,284200,State University of New York Athletic Conference,NCAA D3
SUNY College at Brockport,SUNY College at Brockport,284100,Empire 8 Athletic Conference,NCAA D3
SUNY Cortland,SUNY Cortland,284300,State University of New York Athletic Conference,NCAA D3
SUNY Erie Community College,Erie Community College,1068400,Region III,JC
SUNY Hudson Valley Community College,Hudson Valley Community College,286800,Region III,JC
SUNY Maritime College,SUNY Maritime College,285300,Eastern Collegiate Football Conference,NCAA D3
SUNY Morrisville,SUNY Morrisville,285900,Empire 8 Athletic Conference,NCAA D3
SUNY Stony Brook University,Stony Brook University,283800,Colonial Athletic Association,NCAA FCS
SUNY University at Albany,SUNY at Albany,283500,Colonial Athletic Association,NCAA FCS
SUNY University at Buffalo,University at Buffalo,283700,Mid-American Conference,NCAA FBS
Susquehanna University,Susquehanna University,336900,Centennial Conference,NCAA D3
Syracuse University,Syracuse University,288200,Atlantic Coast Conference,NCAA FBS
Tabor College,Tabor College,194600,Kansas Collegiate Athletic Conference,NAIA
Tarleton State University,Tarleton State University,363100,Western Athletic Conference,NCAA FCS
Taylor University,Taylor University,183800,Mid-States Football Association,NAIA
Temple University,Temple University,337100,American Athletic Conference,NCAA FBS
Tennessee State University,Tennessee State University,352200,Ohio Valley Conference,NCAA FCS
Tennessee Technological University,Tennessee Technological University,352300,Ohio Valley Conference,NCAA FCS
Texas A&M University,Texas A & M University-College Station,363200,Southeastern Conference,NCAA FBS
Texas A&M University - Commerce,Texas A & M University-Commerce,356500,Lone Star Conference,NCAA D2
Texas A&M University - Kingsville,Texas A & M University-Kingsville,363900,Lone Star Conference,NCAA D2
Texas Christian University,Texas Christian University,363600,Big 12 Conference,NCAA FBS
Texas College,Texas College,363800,Red River Athletic Conference,NAIA
Texas Lutheran University,Texas Lutheran University,364100,American Southwest Conference,NCAA D3
Texas Southern University,Texas Southern University,364200,Southwestern Athletic Conference,NCAA FCS
Texas State University,Texas State University,361500,Sun Belt Conference,NCAA FBS
Texas Tech University,Texas Tech University,364400,Big 12 Conference,NCAA FBS
Texas Wesleyan University,Texas Wesleyan University,364500,Sooner Athletic Conference,NAIA
Thaddeus Stevens College of Technology,Thaddeus Stevens College of Technology,791200,"AJCCA, NJCAA",JC
The College of Idaho,The College of Idaho,161700,Frontier Conference,NAIA
The College of New Jersey,The College of New Jersey,264200,New Jersey Athletic Conference,NCAA D3
The College of St. Scholastica,The College of Saint Scholastica,234300,Northern Collegiate Hockey Association ,NCAA D3
The University of Virginia's College at Wise,The University of Virginia's College at Wise,374700,South Atlantic Conference,NCAA D2
Thiel College,Thiel College,337600,Presidents' Athletic Conference,NCAA D3
Thomas More University,Thomas More University,200100,Mid-South Conference,NAIA
Tiffin University,Tiffin University,312100,Great Midwest,NCAA D2
Towson University,Towson University,209900,Colonial Athletic Association,NCAA FCS
Trine University,Trine University,183900,Michigan Intercollegiate Athletic Association,NCAA D3
Trinity College - Connecticut,Trinity College,141400,New England Small College Athletic Conference,NCAA D3
Trinity International University,Trinity International University-Illinois,177200,Mid-States Football Association,NAIA
Trinity University - Texas,Trinity University,364700,Southern Athletic Association,NCAA D3
Trinity Valley Community College,Trinity Valley Community College,357200,NJCAA: Region XIV,JC
Troy University,Troy University,104700,Sun Belt Conference,NCAA FBS
Truman State University,Truman State University,249500,Great Lakes Valley Conference,NCAA D2
Tufts University,Tufts University,221900,New England Small College Athletic Conference,NCAA D3
Tulane University,Tulane University of Louisiana,202900,American Athletic Conference,NCAA FBS
Tusculum University,Tusculum University,352700,South Atlantic Conference,NCAA D2
Tuskegee University,Tuskegee University,105000,Southern Intercollegiate Athletic Conference,NCAA D2
Tyler Junior College,Tyler Junior College,364800,"NJCAA, SWJCFC",JC
Union College - Kentucky,Union College,198800,Appalachian Athletic Conference,NAIA
Union College - New York,Union College,288900,Liberty League,NCAA D3
United States Air Force Academy,United States Air Force Academy,136900,Mountain West Conference,NCAA FBS
United States Coast Guard Academy,United States Coast Guard Academy,141500,New England Women's & Men's Athletic Conference,NCAA D3
United States Merchant Marine Academy,United States Merchant Marine Academy,289200,New England Women's & Men's Athletic Conference,NCAA D3
United States Military Academy,United States Military Academy,289300,Division I-A Independents,NCAA FBS
United States Naval Academy,United States Naval Academy,210100,American Athletic Conference,NCAA FBS
University of Akron,University of Akron Main Campus,312300,Mid-American Conference,NCAA FBS
University of Alabama,The University of Alabama,105100,Southeastern Conference,NCAA FBS
University of Alabama - Birmingham,University of Alabama at Birmingham,105200,Conference USA,NCAA FBS
University of Arizona,University of Arizona,108300,Pacific-12 Conference,NCAA FBS
University of Arkansas,University of Arkansas,110800,Southeastern Conference,NCAA FBS
University of Arkansas at Monticello,University of Arkansas at Monticello,108500,Great American Conference,NCAA D2
University of Arkansas at Pine Bluff,University of Arkansas at Pine Bluff,108600,Southwestern Athletic Conference,NCAA FCS
University of California,University of California-Berkeley,131200,Pacific-12 Conference,NCAA FBS
University of California - Davis,University of California-Davis,131300,Big Sky Conference,NCAA FCS
University of California - Los Angeles - UCLA,University of California-Los Angeles,131500,Pacific-12 Conference,NCAA FBS
University of Central Arkansas,University of Central Arkansas,109200,Southland Conference,NCAA FCS
University of Central Florida,University of Central Florida,395400,American Athletic Conference,NCAA FBS
University of Central Missouri,University of Central Missouri,245400,Mid-America Intercollegiate Athletics Association,NCAA D2
University of Central Oklahoma,University of Central Oklahoma,315200,Mid-America Intercollegiate Athletics Association,NCAA D2
University of Charleston,University of Charleston,381800,Mountain East Conference,NCAA D2
University of Chicago,University of Chicago,177400,University Athletic Association,NCAA D3
University of Cincinnati,University of Cincinnati-Main Campus,312500,American Athletic Conference,NCAA FBS
University of Colorado - Boulder,University of Colorado Boulder,137000,Pacific-12 Conference,NCAA FBS
University of Connecticut,University of Connecticut,141700,Independent,NCAA FBS
University of Dayton,University of Dayton,312700,Pioneer Football League,NCAA FCS
University of Delaware,University of Delaware,143100,Colonial Athletic Association,NCAA FCS
University of Dubuque,University of Dubuque,189100,Iowa Intercollegiate Athletic Conference,NCAA D3
University of Findlay,The University of Findlay,304500,Great Midwest,NCAA D2
University of Florida,University of Florida,153500,Southeastern Conference,NCAA FBS
University of Georgia,University of Georgia,159800,Southeastern Conference,NCAA FBS
University of Hawaii at Manoa,University of Hawaii at Manoa,161000,Mountain West Conference,NCAA FBS
University of Houston,University of Houston,365200,American Athletic Conference,NCAA FBS
University of Idaho,University of Idaho,162600,Big Sky Conference,NCAA FCS
